Feed,HDPE_wt%,LDPE_wt%,PP_wt%,Temperature_C,VRT_s,Liquid,Gas,Solid
100% HDPE,100,0,0,400,1.0,81.43095397949219,5.667264938354492,1.8161704540252686
100% HDPE,100,0,0,450,1.0,82.8257827758789,9.782829284667969,1.5336906909942627
100% HDPE,100,0,0,500,1.0,84.093017578125,13.224053382873535,0.8452517986297607
100% HDPE,100,0,0,550,1.0,78.4307861328125,18.672027587890625,0.7975070476531982
100% HDPE,100,0,0,600,1.0,71.82740783691406,23.5468807220459,1.0954632759094238
100% HDPE,100,0,0,650,1.0,62.60670852661133,33.670738220214844,1.0975927114486694
100% HDPE,100,0,0,700,1.0,40.230098724365234,54.03879928588867,1.6278958320617676
100% HDPE,100,0,0,750,1.0,26.388648986816406,61.891849517822266,2.2414729595184326
100% HDPE,100,0,0,800,1.0,21.52491569519043,61.45680618286133,2.7099320888519287
100% LDPE,0,100,0,400,1.0,93.82263946533203,5.528868198394775,0.48220205307006836
100% LDPE,0,100,0,450,1.0,92.79884338378906,8.126441955566406,0.6123147010803223
100% LDPE,0,100,0,500,1.0,88.35555267333984,12.79289722442627,0.7968249917030334
100% LDPE,0,100,0,550,1.0,71.98115539550781,28.02056312561035,1.057576060295105
100% LDPE,0,100,0,600,1.0,54.57915496826172,43.084232330322266,1.2025946378707886
100% LDPE,0,100,0,650,1.0,37.67935562133789,50.73836898803711,1.9457588195800781
100% LDPE,0,100,0,700,1.0,27.169395446777344,53.17955017089844,2.732131242752075
100% LDPE,0,100,0,750,1.0,17.02902603149414,66.58374786376953,3.382589340209961
100% LDPE,0,100,0,800,1.0,12.10303783416748,72.90678405761719,3.968636989593506
100% PP,0,0,100,400,1.0,94.65715026855469,4.760676383972168,0.9365193843841553
100% PP,0,0,100,450,1.0,92.59274291992188,6.284910202026367,0.9673436284065247
100% PP,0,0,100,500,1.0,87.1657943725586,10.40474796295166,0.6609864234924316
100% PP,0,0,100,550,1.0,73.75634002685547,19.283903121948242,0.6381862163543701
100% PP,0,0,100,600,1.0,41.8605842590332,51.927120208740234,1.9603021144866943
100% PP,0,0,100,650,1.0,31.782045364379883,65.73809814453125,2.3620693683624268
100% PP,0,0,100,700,1.0,30.676326751708984,68.31730651855469,1.9679661989212036
100% PP,0,0,100,750,1.0,29.437320709228516,68.09695434570312,1.6136020421981812
100% PP,0,0,100,800,1.0,28.305408477783203,67.00132751464844,1.1702591180801392
50/25/25 Mix,50,25,25,400,1.0,83.00782775878906,14.483012199401855,3.1106464862823486
50/25/25 Mix,50,25,25,450,1.0,82.9671859741211,14.777633666992188,3.066746711730957
50/25/25 Mix,50,25,25,500,1.0,87.82974243164062,9.538825988769531,1.549006462097168
50/25/25 Mix,50,25,25,550,1.0,87.42974090576172,7.253554344177246,1.7511714696884155
50/25/25 Mix,50,25,25,600,1.0,77.78184509277344,9.652586936950684,5.033661365509033
50/25/25 Mix,50,25,25,650,1.0,45.588294982910156,21.617414474487305,13.942411422729492
50/25/25 Mix,50,25,25,700,1.0,33.53359603881836,32.20048522949219,13.589009284973145
50/25/25 Mix,50,25,25,750,1.0,30.65670394897461,39.66525650024414,10.02482795715332
50/25/25 Mix,50,25,25,800,1.0,24.57767677307129,55.32442855834961,6.312670707702637
