Feed,HDPE_wt%,LDPE_wt%,PP_wt%,Temperature_C,VRT_s,Liquid,Gas,Solid,Gasoline,Diesel,Aromatics,BTX,Wax
100% HDPE,100,0,0,400,1.0,81.43095397949219,5.667264938354492,1.8161704540252686,24.309402465820312,47.233890533447266,0.8140975832939148,1.0946136713027954,26.508235931396484
100% HDPE,100,0,0,450,1.0,82.8257827758789,9.782829284667969,1.5336906909942627,15.65703010559082,35.27861022949219,2.1335020065307617,1.624029517173767,53.03999328613281
100% HDPE,100,0,0,500,1.0,84.093017578125,13.224053382873535,0.8452517986297607,8.206212997436523,20.32125473022461,4.422802925109863,1.3983731269836426,69.64395904541016
100% HDPE,100,0,0,550,1.0,78.4307861328125,18.672027587890625,0.7975070476531982,7.412846565246582,16.51824378967285,9.138202667236328,1.79364013671875,58.457801818847656
100% HDPE,100,0,0,600,1.0,71.82740783691406,23.5468807220459,1.0954632759094238,10.462586402893066,15.510643005371094,12.961785316467285,2.693307876586914,42.415130615234375
100% HDPE,100,0,0,650,1.0,62.60670852661133,33.670738220214844,1.0975927114486694,22.68010902404785,13.677072525024414,7.924371719360352,3.1229248046875,26.941654205322266
100% HDPE,100,0,0,700,1.0,40.230098724365234,54.03879928588867,1.6278958320617676,23.554363250732422,10.687950134277344,7.786822319030762,4.9185967445373535,15.860345840454102
100% HDPE,100,0,0,800,1.0,21.52491569519043,61.45680618286133,2.7099320888519287,6.730863571166992,3.981428861618042,11.088240623474121,6.357342720031738,5.072620868682861
100% LDPE,0,100,0,400,1.0,93.82263946533203,5.528868198394775,0.48220205307006836,17.716442108154297,56.85050582885742,0.6592840552330017,0.3993275463581085,38.15554428100586
100% LDPE,0,100,0,450,1.0,92.79884338378906,8.126441955566406,0.6123147010803223,20.19548225402832,51.54020309448242,1.4241598844528198,0.8107288479804993,51.26203918457031
100% LDPE,0,100,0,500,1.0,88.35555267333984,12.79289722442627,0.7968249917030334,28.263965606689453,33.25203323364258,2.0917317867279053,1.5710217952728271,48.66461944580078
100% LDPE,0,100,0,550,1.0,71.98115539550781,28.02056312561035,1.057576060295105,38.986351013183594,18.576087951660156,2.678098678588867,2.8575446605682373,29.360088348388672
100% LDPE,0,100,0,600,1.0,54.57915496826172,43.084232330322266,1.2025946378707886,27.97165298461914,20.972312927246094,5.579963207244873,4.2110915184021,22.36330223083496
100% LDPE,0,100,0,650,1.0,37.67935562133789,50.73836898803711,1.9457588195800781,17.341041564941406,23.501720428466797,13.081005096435547,6.563236713409424,16.117767333984375
100% LDPE,0,100,0,700,1.0,27.169395446777344,53.17955017089844,2.732131242752075,12.702644348144531,20.72529411315918,18.802448272705078,7.495273590087891,10.93147087097168
100% LDPE,0,100,0,800,1.0,12.10303783416748,72.90678405761719,3.968636989593506,6.769280910491943,6.611057281494141,20.873899459838867,9.072403907775879,1.7054810523986816
100% PP,0,0,100,400,1.0,94.65715026855469,4.760676383972168,0.9365193843841553,37.89720153808594,46.48278045654297,0.5014790892601013,0.5019354224205017,64.65158081054688
100% PP,0,0,100,450,1.0,92.59274291992188,6.284910202026367,0.9673436284065247,21.772052764892578,45.390045166015625,0.8129759430885315,0.4356464743614197,69.22309112548828
100% PP,0,0,100,500,1.0,87.1657943725586,10.40474796295166,0.6609864234924316,17.892623901367188,26.588253021240234,0.9542456865310669,0.3406446576118469,59.13224792480469
100% PP,0,0,100,550,1.0,73.75634002685547,19.283903121948242,0.6381862163543701,18.936904907226562,15.701286315917969,1.3446890115737915,0.5026255249977112,46.39116668701172
100% PP,0,0,100,600,1.0,41.8605842590332,51.927120208740234,1.9603021144866943,24.763263702392578,17.36455535888672,5.872196197509766,2.9590578079223633,40.989219665527344
100% PP,0,0,100,650,1.0,31.782045364379883,65.73809814453125,2.3620693683624268,24.74102210998535,17.623497009277344,13.004161834716797,6.0068745613098145,37.04057312011719
100% PP,0,0,100,700,1.0,30.676326751708984,68.31730651855469,1.9679661989212036,20.346906661987305,16.579883575439453,17.530141830444336,8.515905380249023,29.64096450805664
100% PP,0,0,100,800,1.0,28.305408477783203,67.00132751464844,1.1702591180801392,9.907830238342285,7.749161243438721,23.45476531982422,11.510311126708984,10.838966369628906
50/25/25 Mix,50,25,25,400,1.0,83.00782775878906,14.483012199401855,3.1106464862823486,32.4768180847168,48.54548263549805,2.7895429134368896,2.3611602783203125,36.89752960205078
50/25/25 Mix,50,25,25,450,1.0,82.9671859741211,14.777633666992188,3.066746711730957,23.35771369934082,30.680078506469727,4.101612091064453,1.931695818901062,53.71651077270508
50/25/25 Mix,50,25,25,500,1.0,87.82974243164062,9.538825988769531,1.549006462097168,17.3558292388916,17.32996940612793,2.5872135162353516,0.74901282787323,62.04791259765625
50/25/25 Mix,50,25,25,550,1.0,87.42974090576172,7.253554344177246,1.7511714696884155,18.910541534423828,15.460112571716309,2.080193519592285,0.5845425724983215,61.13090515136719
50/25/25 Mix,50,25,25,600,1.0,77.78184509277344,9.652586936950684,5.033661365509033,25.792112350463867,15.603476524353027,3.009756088256836,1.2163740396499634,51.86142349243164
50/25/25 Mix,50,25,25,650,1.0,45.588294982910156,21.617414474487305,13.942411422729492,22.231477737426758,12.261672019958496,7.804388523101807,3.4117069244384766,28.663898468017578
50/25/25 Mix,50,25,25,700,1.0,33.53359603881836,32.20048522949219,13.589009284973145,15.253599166870117,8.521655082702637,12.399205207824707,5.398861408233643,16.836156845092773
50/25/25 Mix,50,25,25,800,1.0,24.57767677307129,55.32442855834961,6.312670707702637,7.068658828735352,3.446657657623291,18.33416175842285,8.959965705871582,3.8509926795959473
