Reactor_label,Reactor_type,HDPE_wt%,LDPE_wt%,PP_wt%,Temperature_C,VRT_s,Liquid,Gas,Solid,Gasoline,Diesel,Aromatics,BTX,Wax
Thermal,thermal,100,0,0,400,1.0,81.43095397949219,5.667264938354492,1.8161704540252686,24.309402465820312,47.233890533447266,0.8140975832939148,1.0946136713027954,26.508235931396484
Thermal,thermal,100,0,0,450,1.0,82.8257827758789,9.782829284667969,1.5336906909942627,15.65703010559082,35.27861022949219,2.1335020065307617,1.624029517173767,53.03999328613281
Thermal,thermal,100,0,0,500,1.0,84.093017578125,13.224053382873535,0.8452517986297607,8.206212997436523,20.32125473022461,4.422802925109863,1.3983731269836426,69.64395904541016
Thermal,thermal,100,0,0,550,1.0,78.4307861328125,18.672027587890625,0.7975070476531982,7.412846565246582,16.51824378967285,9.138202667236328,1.79364013671875,58.457801818847656
Thermal,thermal,100,0,0,600,1.0,71.82740783691406,23.5468807220459,1.0954632759094238,10.462586402893066,15.510643005371094,12.961785316467285,2.693307876586914,42.415130615234375
Thermal,thermal,100,0,0,650,1.0,62.60670852661133,33.670738220214844,1.0975927114486694,22.68010902404785,13.677072525024414,7.924371719360352,3.1229248046875,26.941654205322266
Thermal,thermal,100,0,0,700,1.0,40.230098724365234,54.03879928588867,1.6278958320617676,23.554363250732422,10.687950134277344,7.786822319030762,4.9185967445373535,15.860345840454102
Thermal,thermal,100,0,0,800,1.0,21.52491569519043,61.45680618286133,2.7099320888519287,6.730863571166992,3.981428861618042,11.088240623474121,6.357342720031738,5.072620868682861
TOD,TOD,100,0,0,400,1.0,91.58354969848429,6.3738445243682165,2.042605777147488,22.518861685002253,43.75481665017321,0.7541341627819251,0.7541341627819251,24.555737200526906
TOD,TOD,100,0,0,450,1.0,85.91597446539232,12.405361172146248,1.6786643624614428,13.9060675060785,29.4120402886994,1.741931099419081,1.3259643129839966,40.85593557119534
TOD,TOD,100,0,0,500,1.0,82.343017578125,17.324053382873537,0.9802517986297608,8.947037550026232,17.811456853765634,3.611739189132451,1.1419362583583925,51.97278398520067
TOD,TOD,100,0,0,550,1.0,74.59156907988724,24.424441457293767,0.9839894628189929,9.682238806928869,15.737198770097162,7.6685246237199856,1.505172740787989,41.50360687914122
TOD,TOD,100,0,0,600,1.0,67.35762519228372,31.29629178679938,1.3460830209169075,13.814723168368527,16.002614355655727,11.217698147110172,2.3309068958581305,26.32258952114929
TOD,TOD,100,0,0,650,1.0,56.214974147606924,42.3996345988179,1.3853912535751716,24.86321373258074,14.639480714738863,6.66637188157766,2.6271581954424787,10.045907818709672
TOD,TOD,100,0,0,700,1.0,33.845661912491366,64.18737093920411,1.9669671483045243,19.661309938211723,9.370574511065605,4.813777463214034,3.0406537082046774,0.0
TOD,TOD,100,0,0,800,1.0,15.188397452811204,81.41321722805932,3.3983853191294466,6.9478766638625435,3.8955700784594933,4.344950710489167,2.4911382884086906,0.0
Catalytic,catalytic,100,0,0,400,1.0,69.30618585273216,30.693814147267844,0.0,8.448333127080659,20.426263819038038,40.43158890661346,1.6730839238693624,0.0
Catalytic,catalytic,100,0,0,450,1.0,68.89068282617818,31.10931717382181,0.0,5.273268225778573,17.52994357970488,46.08747102069473,3.333016232328866,0.0
Catalytic,catalytic,100,0,0,500,1.0,68.62957883579577,31.37042116420424,0.0,0.8454767346624904,8.499956298153714,48.244652181397086,4.660976331053705,11.039493621582471
Catalytic,catalytic,100,0,0,550,1.0,65.48623297473728,34.513767025262716,0.0,0.7814727922808883,5.80518956620161,48.780778368220595,6.408321547488021,10.118792248034179
Catalytic,catalytic,100,0,0,600,1.0,61.77179214359309,38.228207856406904,0.0,4.051141312267864,5.087844728409367,47.94244348938599,8.755108577454733,4.690362613529875
Catalytic,catalytic,100,0,0,650,1.0,53.21118018405848,46.78881981594151,0.0,14.82768189727799,3.183333097497432,35.200165189283055,9.983564135707347,0.0
Catalytic,catalytic,100,0,0,700,1.0,29.542666712057883,68.98516041639087,1.4721728715512452,10.681578785011865,0.2965832134096741,18.564504713636346,8.369490622136244,0.0
Catalytic,catalytic,100,0,0,800,1.0,0.0,89.11846052162839,10.881539478371609,0.0,0.0,0.0,0.0,0.0
